"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"50","Monroe County, Alabama",4.4,"13.7 (13.1, 14.3)","0.6 (0.6, 0.6)",12.1,56.9,34.6,0.9
"51","Montgomery County, Alabama",35.9,"14.2 (13.6, 14.9)","5.1 (4.9, 5.3)",11.3,58.5,44.9,1.1
"52","Morgan County, Alabama",21.9,"10.7 (10.2, 11.3)","2.3 (2.2, 2.5)",10.3,56.3,7.9,1.5
"53","Perry County, Alabama",1.8,"16.5 (15.8, 17.2)","0.3 (0.3, 0.3)",12.2,59.8,56.3,0.8
"54","Pickens County, Alabama",3.9,"13.4 (12.8, 14)","0.5 (0.5, 0.6)",10.8,55.1,33,0.7
"55","Pike County, Alabama",5.2,"12.9 (12.3, 13.5)","0.7 (0.6, 0.7)",10.8,56.4,27.8,0.8
"56","Randolph County, Alabama",4.9,"11.6 (11, 12.1)","0.6 (0.5, 0.6)",10.9,54.9,14.5,1
"57","Russell County, Alabama",8.8,"13.3 (12.7, 13.9)","1.2 (1.1, 1.2)",10.4,58.3,37.3,1.8
"58","St. Clair County, Alabama",15.9,"10 (9.5, 10.5)","1.6 (1.5, 1.7)",9.2,55.7,5.6,0.7
"59","Shelby County, Alabama",36.3,"10.3 (9.8, 10.8)","3.7 (3.5, 3.9)",10.2,55.8,7.4,1.5
"60","Sumter County, Alabama",2.4,"17.5 (16.8, 18.2)","0.4 (0.4, 0.4)",14.7,58,65.5,0.6
"61","Talladega County, Alabama",15.1,"11.7 (11.2, 12.3)","1.8 (1.7, 1.9)",9.5,55,24.1,0.8
"62","Tallapoosa County, Alabama",9.2,"11.3 (10.7, 11.8)","1 (1, 1.1)",9,53.6,18.9,0.6
"63","Tuscaloosa County, Alabama",29.8,"11.9 (11.3, 12.5)","3.5 (3.4, 3.7)",10.6,56.7,24.3,1.2
"64","Walker County, Alabama",12.7,"9.9 (9.4, 10.5)","1.3 (1.2, 1.3)",8.7,56.1,4,0.7
"65","Washington County, Alabama",3.3,"11.8 (11.2, 12.4)","0.4 (0.4, 0.4)",9.6,54.9,21.3,1
"66","Wilcox County, Alabama",2.1,"15.8 (15.1, 16.5)","0.3 (0.3, 0.4)",11.5,56.2,56.3,0.9
"67","Winston County, Alabama",5.3,"10.4 (9.9, 10.9)","0.6 (0.5, 0.6)",11.1,55.2,0.8,0.8
"68","Aleutians East Borough, Alaska",0.4,"9.5 (8.9, 10)","0 (0, 0)",9.4,43.6,1.9,4.8
"69","Aleutians West Census Area, Alaska",0.4,"6.7 (6.2, 7.1)","0 (0, 0)",4.3,39.7,2.7,5.7
"70","Anchorage Borough, Alaska",35.1,"9.5 (8.9, 10)","3.3 (3.1, 3.5)",8.9,52.7,4.3,4
"71","Bethel Census Area, Alaska",1.5,"7.6 (7.2, 8.1)","0.1 (0.1, 0.1)",4.6,50.6,1.4,0.8
"72","Bristol Bay Borough, Alaska",0.2,"9.1 (8.6, 9.6)","0 (0, 0)",8.6,46.7,1.3,1.3
"73","Chugach Census Area, Alaska",0.9,"7.6 (7.2, 8.1)","0.1 (0.1, 0.1)",5.3,49.1,0.8,4.5
"74","Copper River Census Area, Alaska",0.6,"8.6 (8.1, 9)","0 (0, 0)",7.2,45.2,0.4,1.1
"75","Denali Borough, Alaska",0.3,"7.8 (7.2, 8.3)","0 (0, 0)",4.9,42,1.9,4.5
"76","Dillingham Census Area, Alaska",0.5,"8.2 (7.7, 8.6)","0 (0, 0)",6.9,49,0.4,1.5
"77","Fairbanks North Star Borough, Alaska",11.2,"8.4 (7.9, 8.9)","0.9 (0.9, 1)",6.5,49.1,2.6,2.5
"78","Haines Borough, Alaska",0.6,"8.4 (7.9, 8.8)","0.1 (0, 0.1)",7.4,51.8,0.5,1.3
"79","Hoonah-Angoon Census Area, Alaska",0.5,"8.5 (8, 8.9)","0 (0, 0)",7.4,41.7,0.6,1.3
"80","Juneau Borough, Alaska",4.7,"8.6 (8.1, 9.1)","0.4 (0.4, 0.4)",7.5,51.7,1.1,2.5
"81","Kenai Peninsula Borough, Alaska",11.4,"8.4 (8, 8.9)","1 (0.9, 1)",7.2,48.5,0.4,1.8
"82","Ketchikan Gateway Borough, Alaska",2.4,"8.9 (8.4, 9.4)","0.2 (0.2, 0.2)",8.4,50.7,0.8,1.8
"83","Kodiak Island Borough, Alaska",1.6,"8.3 (7.8, 8.8)","0.1 (0.1, 0.1)",5.8,50.8,0.4,3.2
"84","Kusilvak Census Area, Alaska",0.5,"8 (7.6, 8.4)","0 (0, 0)",7.3,55.3,0,0.2
"85","Lake and Peninsula Borough, Alaska",0.2,"9 (8.5, 9.5)","0 (0, 0)",8.3,47.9,0.6,0.6
"86","Matanuska-Susitna Borough, Alaska",14.4,"8.2 (7.7, 8.7)","1.2 (1.1, 1.3)",6.6,50.3,1,2.3
"87","Nome Census Area, Alaska",0.8,"7.8 (7.4, 8.3)","0.1 (0.1, 0.1)",5.8,46.3,0.4,1.5
"88","North Slope Borough, Alaska",0.7,"7.5 (7.1, 8)","0.1 (0.1, 0.1)",5.3,44.7,1.8,1.4
"89","Northwest Arctic Borough, Alaska",0.6,"10.4 (9.9, 11)","0.1 (0.1, 0.1)",13.3,49.7,1.2,0.3
"90","Petersburg Borough, Alaska",0.7,"8.6 (8.1, 9.1)","0.1 (0.1, 0.1)",8,45.6,0.5,2.7
"91","Prince of Wales-Hyder Census Area, Alaska",1.2,"7.5 (7.1, 8)","0.1 (0.1, 0.1)",4.9,42.5,0.2,1.4
"92","Sitka Borough, Alaska",1.4,"9.7 (9.2, 10.3)","0.1 (0.1, 0.1)",10,53,0.8,2.6
"93","Skagway Municipality, Alaska",0.2,"9.1 (8.6, 9.6)","0 (0, 0)",8.7,46.4,1.1,1.1
"94","Southeast Fairbanks Census Area, Alaska",1.1,"8.3 (7.8, 8.8)","0.1 (0.1, 0.1)",6.1,44.9,1.7,1.9
"95","Wrangell Borough, Alaska",0.7,"9.6 (9.1, 10.1)","0.1 (0.1, 0.1)",9.8,46.9,1.2,1.2
"96","Yakutat City and Borough, Alaska",0.1,"9.6 (9.1, 10.1)","0 (0, 0)",9.4,38.6,0.8,0.8
"97","Yukon-Koyukuk Census Area, Alaska",0.8,"8.3 (7.8, 8.7)","0.1 (0.1, 0.1)",6.7,43.2,0.9,0.9
"98","Apache County, Arizona",11.8,"10 (9.4, 10.6)","1.2 (1.1, 1.2)",9.6,54.7,0.5,4.8
"99","Cochise County, Arizona",30.3,"11.3 (10.4, 12.1)","3.4 (3.1, 3.7)",10.5,52.3,2.2,19.1
"100","Coconino County, Arizona",19.7,"9.4 (8.8, 10.1)","1.9 (1.7, 2)",8.8,52.5,0.9,7.8
"101","Gila County, Arizona",16.4,"10.5 (9.7, 11.2)","1.7 (1.6, 1.8)",10,51.2,0.4,11
"102","Graham County, Arizona",5.6,"11.5 (10.6, 12.5)","0.6 (0.6, 0.7)",11.3,54,1.2,22.7
"103","Greenlee County, Arizona",1.3,"13.2 (11.9, 14.5)","0.2 (0.2, 0.2)",14.6,52.1,1.7,40.4
"104","La Paz County, Arizona",9,"12.4 (11.6, 13.1)","1.1 (1, 1.2)",13.8,47.7,0.5,8.4
"105","Maricopa County, Arizona",729.8,"11.1 (10.4, 11.8)","81 (75.7, 86.4)",11.5,54.9,3.5,12
"106","Mohave County, Arizona",69.5,"10.3 (9.7, 11)","7.2 (6.7, 7.6)",9.7,50.5,0.7,7.4
"107","Navajo County, Arizona",21.9,"9.6 (9, 10.2)","2.1 (2, 2.2)",8.6,52.6,0.7,6.3
"108","Pima County, Arizona",221.3,"11.5 (10.7, 12.4)","25.5 (23.6, 27.3)",12,54.6,2.2,17.5
"109","Pinal County, Arizona",103.8,"10.3 (9.6, 11)","10.7 (9.9, 11.4)",8.7,52.2,2.7,11.9
"110","Santa Cruz County, Arizona",9,"13.2 (11.6, 14.9)","1.2 (1, 1.3)",10.4,54.2,0.4,60.4
"111","Yavapai County, Arizona",80.9,"9.9 (9.3, 10.5)","8 (7.5, 8.5)",9.6,52.7,0.4,5.2
"112","Yuma County, Arizona",43.7,"13.3 (12.1, 14.4)","5.8 (5.3, 6.3)",13.5,52,1.1,31.9
"113","Arkansas County, Arkansas",3.6,"12.3 (11.8, 12.9)","0.4 (0.4, 0.5)",12.3,54.6,18.7,1.1
"114","Ashley County, Arkansas",4.2,"12.2 (11.6, 12.8)","0.5 (0.5, 0.5)",10.2,54.9,20.8,1.7
"115","Baxter County, Arkansas",13.3,"11 (10.4, 11.6)","1.5 (1.4, 1.5)",12.7,53.4,0.2,0.9
"116","Benton County, Arkansas",39.8,"10.4 (9.8, 10.9)","4.1 (3.9, 4.4)",11.4,55.2,0.7,4.8
"117","Boone County, Arkansas",8.1,"10.7 (10.2, 11.3)","0.9 (0.8, 0.9)",12.4,55,0.3,1
"118","Bradley County, Arkansas",2.1,"13.1 (12.5, 13.7)","0.3 (0.3, 0.3)",12.8,56.2,24.5,3.5
"119","Calhoun County, Arkansas",1.1,"12.8 (12.2, 13.4)","0.1 (0.1, 0.2)",11.8,54.8,21.5,1.6
