"","County","No. of people age 65y and older, in thousands","Prevalence, % (95%CI)","No. (95%CI) of people with AD, in thousands","Age 85 years or more, %","Women, %","Black or African American, %","Hispanic, %"
"587","Oneida County, Idaho",0.9,"10.8 (10.2, 11.4)","0.1 (0.1, 0.1)",13,50.2,0.1,1.7
"588","Owyhee County, Idaho",2.2,"10.2 (9.5, 10.9)","0.2 (0.2, 0.2)",10.3,49.7,0.1,10.2
"589","Payette County, Idaho",4.8,"10.2 (9.6, 10.8)","0.5 (0.5, 0.5)",9.7,51.8,0.4,5.5
"590","Power County, Idaho",1.3,"10.2 (9.5, 10.9)","0.1 (0.1, 0.1)",10.3,51.6,0.4,9.4
"591","Shoshone County, Idaho",3.1,"9.7 (9.2, 10.3)","0.3 (0.3, 0.3)",9.8,51.6,0.3,2
"592","Teton County, Idaho",1.6,"8.1 (7.6, 8.6)","0.1 (0.1, 0.1)",6.8,48,0.2,4.1
"593","Twin Falls County, Idaho",14.4,"10.5 (9.8, 11.1)","1.5 (1.4, 1.6)",11.3,54.4,0.3,5.8
"594","Valley County, Idaho",3.2,"8.4 (7.9, 8.8)","0.3 (0.2, 0.3)",7.2,46.7,0.4,1.5
"595","Washington County, Idaho",2.7,"10.3 (9.7, 11)","0.3 (0.3, 0.3)",10.3,50.2,0.3,6
"596","Adams County, Illinois",13.6,"12.1 (11.5, 12.6)","1.6 (1.6, 1.7)",16.7,54.7,2.4,0.6
"597","Alexander County, Illinois",1.4,"13 (12.4, 13.6)","0.2 (0.2, 0.2)",12.7,55.3,26.3,0.9
"598","Bond County, Illinois",3.3,"11.1 (10.5, 11.6)","0.4 (0.3, 0.4)",14,54.8,2.6,0.9
"599","Boone County, Illinois",8.8,"10.3 (9.7, 10.9)","0.9 (0.9, 1)",10.4,53.6,1.2,6.6
"600","Brown County, Illinois",1,"11.1 (10.5, 11.7)","0.1 (0.1, 0.1)",13.7,55.3,0.6,1.3
"601","Bureau County, Illinois",7.4,"11.5 (10.8, 12.1)","0.9 (0.8, 0.9)",14.7,55,0.3,3.4
"602","Calhoun County, Illinois",1.1,"10.9 (10.4, 11.4)","0.1 (0.1, 0.1)",12.5,53.3,0.3,0.1
"603","Carroll County, Illinois",3.8,"10.9 (10.3, 11.5)","0.4 (0.4, 0.4)",13.5,52.2,0.9,1.3
"604","Cass County, Illinois",2.2,"11.1 (10.5, 11.7)","0.2 (0.2, 0.3)",13.7,55.3,1,4.3
"605","Champaign County, Illinois",28.7,"11.3 (10.7, 11.8)","3.2 (3.1, 3.4)",13.3,55.7,8.6,1.6
"606","Christian County, Illinois",6.7,"11.2 (10.6, 11.7)","0.7 (0.7, 0.8)",14,55.9,0.4,0.4
"607","Clark County, Illinois",3.2,"11 (10.5, 11.6)","0.3 (0.3, 0.4)",13.8,55.5,0.3,0.6
"608","Clay County, Illinois",2.8,"10.6 (10.1, 11.2)","0.3 (0.3, 0.3)",12.7,55.1,0.4,0.8
"609","Clinton County, Illinois",6.8,"10.9 (10.4, 11.5)","0.7 (0.7, 0.8)",13.8,54.1,1,0.9
"610","Coles County, Illinois",9.1,"11 (10.4, 11.5)","1 (1, 1.1)",13.8,56.4,1.1,0.8
"611","Cook County, Illinois",792.1,"13.6 (12.8, 14.4)","107.6 (101.2, 114)",13.1,57.5,23.4,13.1
"612","Crawford County, Illinois",3.7,"10.7 (10.2, 11.3)","0.4 (0.4, 0.4)",12.8,56,0.5,0.8
"613","Cumberland County, Illinois",2.2,"10.9 (10.4, 11.5)","0.2 (0.2, 0.3)",14.6,52.9,0.5,0.3
"614","DeKalb County, Illinois",14,"10.6 (10, 11.2)","1.5 (1.4, 1.6)",12.1,55,2.1,3.3
"615","De Witt County, Illinois",3.1,"10.3 (9.8, 10.9)","0.3 (0.3, 0.3)",11.6,54.8,0.3,0.8
"616","Douglas County, Illinois",3.7,"11.4 (10.8, 11.9)","0.4 (0.4, 0.4)",14.4,55.4,0.2,2.5
"617","DuPage County, Illinois",153.3,"10.7 (10.1, 11.3)","16.4 (15.4, 17.3)",12.2,55.4,2.7,5.3
"618","Edgar County, Illinois",3.9,"10.8 (10.3, 11.4)","0.4 (0.4, 0.4)",13.1,55.3,0.5,0.5
"619","Edwards County, Illinois",1.4,"10.9 (10.4, 11.5)","0.2 (0.1, 0.2)",13.4,57.6,0.4,0.3
"620","Effingham County, Illinois",6.3,"10.6 (10.1, 11.2)","0.7 (0.6, 0.7)",12.6,55.1,0.1,0.6
"621","Fayette County, Illinois",4.2,"11.3 (10.7, 11.8)","0.5 (0.4, 0.5)",14.6,54.3,0.4,0.7
"622","Ford County, Illinois",2.6,"12.1 (11.5, 12.7)","0.3 (0.3, 0.3)",17.5,56.8,0.6,1
"623","Franklin County, Illinois",8.1,"10.6 (10, 11.1)","0.9 (0.8, 0.9)",11.7,55.5,0.4,0.7
"624","Fulton County, Illinois",7.2,"11 (10.5, 11.6)","0.8 (0.8, 0.8)",13.9,54.9,0.6,0.7
"625","Gallatin County, Illinois",1.2,"10.1 (9.6, 10.7)","0.1 (0.1, 0.1)",9.3,55.2,0.4,0.2
"626","Greene County, Illinois",2.6,"10.4 (9.8, 10.9)","0.3 (0.3, 0.3)",11.3,54,0.4,0.6
"627","Grundy County, Illinois",7.7,"10.1 (9.6, 10.7)","0.8 (0.7, 0.8)",10.8,54.5,0.7,3.2
"628","Hamilton County, Illinois",1.8,"11.2 (10.6, 11.8)","0.2 (0.2, 0.2)",13.8,55.8,0.6,0.8
"629","Hancock County, Illinois",4.2,"10.9 (10.3, 11.4)","0.5 (0.4, 0.5)",13.5,54.2,0.2,0.4
"630","Hardin County, Illinois",1.1,"9.7 (9.2, 10.2)","0.1 (0.1, 0.1)",9,50.9,0.4,0.7
"631","Henderson County, Illinois",1.8,"11.6 (11, 12.1)","0.2 (0.2, 0.2)",15.3,53.1,0.3,0.9
"632","Henry County, Illinois",10.4,"10.8 (10.3, 11.4)","1.1 (1.1, 1.2)",13.3,54,1,1.4
"633","Iroquois County, Illinois",6,"11.4 (10.8, 12)","0.7 (0.7, 0.7)",14.7,55.2,0.7,2
"634","Jackson County, Illinois",9.5,"11.7 (11.1, 12.2)","1.1 (1.1, 1.2)",14.3,55.3,8,1.7
"635","Jasper County, Illinois",2,"11.1 (10.5, 11.6)","0.2 (0.2, 0.2)",14.4,53,0.6,0.5
"636","Jefferson County, Illinois",7.4,"10.8 (10.3, 11.4)","0.8 (0.8, 0.8)",12.4,54.6,3.7,0.8
"637","Jersey County, Illinois",4.4,"10.7 (10.1, 11.2)","0.5 (0.4, 0.5)",12.6,54.9,0.5,0.8
"638","Jo Daviess County, Illinois",6.2,"10.3 (9.7, 10.8)","0.6 (0.6, 0.7)",11.4,52.3,0.3,1.1
"639","Johnson County, Illinois",2.7,"10.4 (9.9, 11)","0.3 (0.3, 0.3)",11.2,51,0.8,0.8
"640","Kane County, Illinois",78.8,"10.8 (10.1, 11.6)","8.5 (8, 9.1)",11,55.1,4.1,12.7
"641","Kankakee County, Illinois",19,"11.8 (11.2, 12.4)","2.2 (2.1, 2.4)",13.7,54.1,10.1,3.1
"642","Kendall County, Illinois",14.4,"10.2 (9.5, 10.8)","1.5 (1.4, 1.6)",9.9,56.1,4.4,8.1
"643","Knox County, Illinois",11,"11.4 (10.8, 12)","1.3 (1.2, 1.3)",14.1,55.2,3,2.5
"644","Lake County, Illinois",106.7,"11 (10.3, 11.6)","11.7 (11, 12.4)",12.2,54.7,4.8,7.8
"645","LaSalle County, Illinois",21.3,"11.1 (10.5, 11.7)","2.4 (2.2, 2.5)",14.1,54.5,0.5,3.2
"646","Lawrence County, Illinois",2.8,"10.9 (10.4, 11.5)","0.3 (0.3, 0.3)",12.9,56.1,1.3,0.7
"647","Lee County, Illinois",7,"11 (10.4, 11.5)","0.8 (0.7, 0.8)",13.6,53.2,1.6,2.3
"648","Livingston County, Illinois",7,"11.5 (10.9, 12)","0.8 (0.8, 0.8)",15.3,54.9,0.6,1.8
"649","Logan County, Illinois",5.4,"11.5 (10.9, 12)","0.6 (0.6, 0.7)",15.1,56.6,1,0.6
"650","McDonough County, Illinois",5.5,"11.5 (11, 12.1)","0.6 (0.6, 0.7)",16,56.2,1.6,0.4
"651","McHenry County, Illinois",48.4,"9.7 (9.1, 10.3)","4.7 (4.4, 5)",9.7,54.3,0.6,4.1
"652","McLean County, Illinois",24.4,"10.7 (10.2, 11.3)","2.6 (2.5, 2.7)",12.7,55.7,3.8,1.5
"653","Macon County, Illinois",21.5,"12 (11.4, 12.5)","2.6 (2.5, 2.7)",14.3,56.2,10.6,0.7
"654","Macoupin County, Illinois",9.5,"10.8 (10.2, 11.3)","1 (1, 1.1)",13.6,55.3,0.8,0.5
"655","Madison County, Illinois",47.8,"11 (10.4, 11.5)","5.2 (5, 5.5)",12.5,56.4,5,1.4
"656","Marion County, Illinois",7.6,"11.3 (10.7, 11.8)","0.9 (0.8, 0.9)",14,55.4,2.9,0.7
"657","Marshall County, Illinois",2.7,"10.9 (10.4, 11.5)","0.3 (0.3, 0.3)",13,54.3,0.3,1.2
"658","Mason County, Illinois",3.1,"10.9 (10.3, 11.4)","0.3 (0.3, 0.3)",13.4,53.8,0.1,0.8
"659","Massac County, Illinois",3,"12.7 (12.1, 13.3)","0.4 (0.4, 0.4)",17.2,55.8,5.9,0.8
"660","Menard County, Illinois",2.4,"10.6 (10.1, 11.2)","0.3 (0.2, 0.3)",12.8,55.5,0.5,0.5
"661","Mercer County, Illinois",3.4,"10.9 (10.4, 11.5)","0.4 (0.4, 0.4)",13.8,52.6,0.2,0.6
"662","Monroe County, Illinois",6.6,"11 (10.4, 11.5)","0.7 (0.7, 0.8)",14.3,54,0.3,0.9
"663","Montgomery County, Illinois",5.9,"11.5 (11, 12.1)","0.7 (0.6, 0.7)",15.7,54.7,0.4,0.7
"664","Morgan County, Illinois",6.9,"11.4 (10.9, 12)","0.8 (0.7, 0.8)",14.8,56,1.7,0.6
"665","Moultrie County, Illinois",2.8,"11.7 (11.1, 12.2)","0.3 (0.3, 0.3)",16.5,55.7,0.4,0.5
"666","Ogle County, Illinois",9.8,"10.7 (10.1, 11.3)","1.1 (1, 1.1)",12.4,53.6,0.4,3.4
"667","Peoria County, Illinois",32.1,"11.7 (11.1, 12.2)","3.7 (3.6, 3.9)",13.2,56,10.9,1.8
"668","Perry County, Illinois",4.1,"10.7 (10.2, 11.3)","0.4 (0.4, 0.5)",12.6,54.9,1.7,0.6
"669","Piatt County, Illinois",3.4,"10.3 (9.7, 10.8)","0.3 (0.3, 0.4)",11.4,54.1,0.2,0.4
"670","Pike County, Illinois",3.4,"11.2 (10.7, 11.8)","0.4 (0.4, 0.4)",14.2,55.1,0.4,0.7
"671","Pope County, Illinois",1.2,"11 (10.4, 11.5)","0.1 (0.1, 0.1)",14.2,50.5,0.7,1.1
"672","Pulaski County, Illinois",1.2,"13 (12.4, 13.6)","0.2 (0.2, 0.2)",11,52.9,28.7,1
"673","Putnam County, Illinois",1.4,"9.8 (9.3, 10.3)","0.1 (0.1, 0.1)",10,50.5,0.3,2.3
"674","Randolph County, Illinois",6.2,"11.4 (10.9, 12)","0.7 (0.7, 0.7)",15,55.8,2.3,0.5
"675","Richland County, Illinois",3.3,"12 (11.4, 12.6)","0.4 (0.4, 0.4)",16.6,55.9,0.5,0.4
"676","Rock Island County, Illinois",28.5,"11.5 (10.8, 12.1)","3.3 (3.1, 3.5)",12.9,55.8,5.6,5.7
"677","St. Clair County, Illinois",43.7,"12.7 (12.1, 13.3)","5.5 (5.3, 5.8)",12.6,56.8,23.7,1.8
"678","Saline County, Illinois",4.9,"11 (10.5, 11.5)","0.5 (0.5, 0.6)",13.1,55.2,3,0.5
"679","Sangamon County, Illinois",36.7,"11 (10.4, 11.5)","4 (3.8, 4.2)",12.3,57.4,6.6,0.9
"680","Schuyler County, Illinois",1.6,"11 (10.5, 11.6)","0.2 (0.2, 0.2)",13.8,53.5,0.7,0.8
"681","Scott County, Illinois",1,"11.2 (10.7, 11.8)","0.1 (0.1, 0.1)",13.8,55,0.3,0.6
"682","Shelby County, Illinois",5,"11 (10.4, 11.5)","0.6 (0.5, 0.6)",14.1,53.2,0.2,0.6
"683","Stark County, Illinois",1.2,"10.7 (10.2, 11.2)","0.1 (0.1, 0.1)",12.8,53.4,0.6,0.5
"684","Stephenson County, Illinois",10.4,"11.9 (11.3, 12.5)","1.2 (1.2, 1.3)",15.3,55.6,4.8,1.2
"685","Tazewell County, Illinois",25.9,"10.9 (10.4, 11.4)","2.8 (2.7, 3)",13.7,55.9,0.3,0.8
"686","Union County, Illinois",3.7,"10.6 (10, 11.2)","0.4 (0.4, 0.4)",11.9,53.1,0.7,1.6
"687","Vermilion County, Illinois",15.2,"11.2 (10.6, 11.8)","1.7 (1.6, 1.8)",12.5,54.8,6.3,1.7
"688","Wabash County, Illinois",2.5,"11.3 (10.8, 11.9)","0.3 (0.3, 0.3)",15.6,54.2,0.6,0.8
"689","Warren County, Illinois",3.5,"10.7 (10.2, 11.3)","0.4 (0.4, 0.4)",12.3,53.9,1.2,2.6
"690","Washington County, Illinois",2.9,"11.1 (10.6, 11.7)","0.3 (0.3, 0.3)",14.4,51.6,0.4,0.4
"691","Wayne County, Illinois",3.6,"11 (10.4, 11.5)","0.4 (0.4, 0.4)",12.6,53.9,0.3,0.6
"692","White County, Illinois",3,"11.4 (10.8, 12)","0.3 (0.3, 0.4)",14.7,55.1,0.3,0.7
"693","Whiteside County, Illinois",11.9,"11.2 (10.6, 11.9)","1.3 (1.3, 1.4)",13.6,54.3,0.8,6.2
"694","Will County, Illinois",96.6,"10.8 (10.2, 11.5)","10.5 (9.9, 11.1)",10.3,55.2,9.3,7.1
"695","Williamson County, Illinois",13.2,"10.5 (9.9, 11)","1.4 (1.3, 1.4)",11,55.6,2,0.8
"696","Winnebago County, Illinois",51.9,"11.4 (10.7, 12)","5.9 (5.6, 6.2)",12.6,55.6,7.7,4
"697","Woodford County, Illinois",7.2,"11.1 (10.6, 11.7)","0.8 (0.8, 0.8)",15.2,54,0.4,0.5
"698","Adams County, Indiana",5.8,"11.4 (10.8, 11.9)","0.7 (0.6, 0.7)",15.1,56.2,0.1,2.5
"699","Allen County, Indiana",58.5,"10.9 (10.3, 11.5)","6.4 (6.1, 6.7)",11.8,55.9,8.5,2.7
"700","Bartholomew County, Indiana",14.3,"10.5 (9.9, 11)","1.5 (1.4, 1.6)",11.8,55.4,1.5,1.3
"701","Benton County, Indiana",1.6,"10.7 (10.2, 11.3)","0.2 (0.2, 0.2)",12.5,55.3,0.7,2
"702","Blackford County, Indiana",2.6,"10.6 (10, 11.1)","0.3 (0.3, 0.3)",12,56,0.4,0.6
"703","Boone County, Indiana",9.9,"10 (9.5, 10.6)","1 (0.9, 1)",10.8,55,1.3,1
"704","Brown County, Indiana",3.9,"9 (8.5, 9.5)","0.3 (0.3, 0.4)",8.1,51.6,0.3,1
"705","Carroll County, Indiana",4.1,"10.2 (9.6, 10.7)","0.4 (0.4, 0.4)",11.3,53.1,0.2,1.2
"706","Cass County, Indiana",7,"10.9 (10.3, 11.5)","0.8 (0.7, 0.8)",13,55.8,0.7,3.7
"707","Clark County, Indiana",19.5,"10 (9.5, 10.5)","1.9 (1.8, 2.1)",9.8,56.8,5.2,1.1
"708","Clay County, Indiana",5,"10.2 (9.7, 10.8)","0.5 (0.5, 0.5)",11.3,55.1,0.7,0.6
"709","Clinton County, Indiana",5.5,"11.5 (10.9, 12.1)","0.6 (0.6, 0.7)",15.4,55.9,0.3,4.1
"710","Crawford County, Indiana",2.2,"9 (8.5, 9.4)","0.2 (0.2, 0.2)",7.7,50.5,0.4,0.3
"711","Daviess County, Indiana",5.3,"10.5 (10, 11.1)","0.6 (0.5, 0.6)",12,54.9,1.2,0.6
"712","Dearborn County, Indiana",9.2,"9.6 (9.1, 10.1)","0.9 (0.8, 0.9)",9.7,53.5,0.6,0.7
"713","Decatur County, Indiana",4.6,"10.4 (9.8, 10.9)","0.5 (0.5, 0.5)",11.9,55.4,0.3,0.7
"714","DeKalb County, Indiana",7.4,"10 (9.5, 10.5)","0.7 (0.7, 0.8)",10.9,55.2,0.3,1.2
"715","Delaware County, Indiana",20.1,"11.2 (10.6, 11.7)","2.2 (2.1, 2.4)",12.8,56.6,4.7,0.7
"716","Dubois County, Indiana",7.9,"10.9 (10.3, 11.4)","0.9 (0.8, 0.9)",13.6,55.8,0.2,1
"717","Elkhart County, Indiana",31.8,"11 (10.4, 11.6)","3.5 (3.3, 3.7)",12.8,55.8,3.5,3.9
"718","Fayette County, Indiana",4.8,"10.2 (9.7, 10.8)","0.5 (0.5, 0.5)",11.4,54.1,1.5,0.3
"719","Floyd County, Indiana",13.5,"10.2 (9.6, 10.7)","1.4 (1.3, 1.4)",11,56.4,3.3,0.8
"720","Fountain County, Indiana",3.4,"10.9 (10.4, 11.5)","0.4 (0.4, 0.4)",13,54.8,0.3,1.1
"721","Franklin County, Indiana",4.4,"10 (9.5, 10.6)","0.4 (0.4, 0.5)",11.1,53.6,0.2,0.4
"722","Fulton County, Indiana",4.1,"10.5 (10, 11.1)","0.4 (0.4, 0.5)",12.1,54.6,0.9,1.4
"723","Gibson County, Indiana",6.1,"10.7 (10.1, 11.2)","0.6 (0.6, 0.7)",12.8,55.3,1.5,0.6
"724","Grant County, Indiana",12.9,"11.3 (10.7, 11.9)","1.5 (1.4, 1.5)",12.7,56.4,5.8,1.6
"725","Greene County, Indiana",6.5,"10.1 (9.6, 10.7)","0.7 (0.6, 0.7)",11,53.6,0.1,0.7
"726","Hamilton County, Indiana",45.7,"10 (9.5, 10.5)","4.6 (4.3, 4.8)",10.7,55.6,2.4,1.5
"727","Hancock County, Indiana",13.6,"10.1 (9.5, 10.6)","1.4 (1.3, 1.4)",10.7,54.7,1.6,0.8
"728","Harrison County, Indiana",7.7,"9.8 (9.3, 10.3)","0.8 (0.7, 0.8)",10.4,53.7,0.5,1.3
"729","Hendricks County, Indiana",25.5,"9.9 (9.3, 10.4)","2.5 (2.4, 2.6)",9.9,55.5,3.2,1.3
"730","Henry County, Indiana",9.5,"10.3 (9.8, 10.9)","1 (0.9, 1)",11.4,54.6,1,0.6
"731","Howard County, Indiana",16.6,"11.1 (10.5, 11.7)","1.8 (1.8, 1.9)",12.5,56.2,4.7,1.4
"732","Huntington County, Indiana",6.6,"10.6 (10.1, 11.2)","0.7 (0.7, 0.7)",12.6,56.2,0.3,1.2
"733","Jackson County, Indiana",7.5,"10.4 (9.9, 10.9)","0.8 (0.7, 0.8)",11.7,55.4,0.6,1.2
"734","Jasper County, Indiana",6.2,"10.2 (9.6, 10.7)","0.6 (0.6, 0.7)",11,54.1,0.1,2
"735","Jay County, Indiana",3.8,"10.3 (9.8, 10.9)","0.4 (0.4, 0.4)",11.7,54.5,0.2,1.3
"736","Jefferson County, Indiana",6,"9.8 (9.3, 10.3)","0.6 (0.6, 0.6)",9.8,54.1,1.5,0.8
"737","Jennings County, Indiana",4.7,"9.5 (9, 10)","0.4 (0.4, 0.5)",8.8,54.3,0.7,0.6
"738","Johnson County, Indiana",24.5,"10.1 (9.6, 10.6)","2.5 (2.3, 2.6)",10.8,55.7,0.6,1.1
"739","Knox County, Indiana",6.9,"10.7 (10.2, 11.2)","0.7 (0.7, 0.8)",12.5,56.6,0.8,0.6
"740","Kosciusko County, Indiana",14,"10.1 (9.6, 10.7)","1.4 (1.3, 1.5)",11,53.8,0.5,2.3
"741","LaGrange County, Indiana",5.8,"9.8 (9.2, 10.3)","0.6 (0.5, 0.6)",10,52.6,0.1,1.6
"742","Lake County, Indiana",84.9,"12.9 (12.1, 13.7)","11 (10.3, 11.6)",12.4,56.4,20.8,10.6
"743","LaPorte County, Indiana",20.6,"10.5 (9.9, 11)","2.2 (2, 2.3)",10.8,55.1,5.6,2.1
"744","Lawrence County, Indiana",9.4,"10.3 (9.7, 10.8)","1 (0.9, 1)",11.4,55,0.4,0.8
"745","Madison County, Indiana",24.6,"10.7 (10.2, 11.3)","2.6 (2.5, 2.8)",11.5,55.7,5.3,1.1
"746","Marion County, Indiana",126.6,"12.3 (11.7, 12.9)","15.6 (14.9, 16.4)",11.9,57.7,22.9,2.4
"747","Marshall County, Indiana",8.8,"10.9 (10.3, 11.5)","1 (0.9, 1)",13.4,55,0.3,3.3
"748","Martin County, Indiana",2.1,"9.8 (9.3, 10.3)","0.2 (0.2, 0.2)",9.8,54.3,0.1,0.6
"749","Miami County, Indiana",6.5,"10.3 (9.8, 10.9)","0.7 (0.6, 0.7)",11.2,53.7,1.9,0.8
"750","Monroe County, Indiana",20.8,"10.4 (9.9, 10.9)","2.2 (2.1, 2.3)",12.3,55.8,1.6,1
"751","Montgomery County, Indiana",7.2,"10.8 (10.2, 11.4)","0.8 (0.7, 0.8)",12.5,55,0.5,1.4
"752","Morgan County, Indiana",12.6,"9.4 (8.9, 9.9)","1.2 (1.1, 1.3)",9.2,54.2,0.2,0.6
"753","Newton County, Indiana",2.8,"10.3 (9.7, 10.8)","0.3 (0.3, 0.3)",10.7,53.9,0.7,2.1
"754","Noble County, Indiana",8.2,"10 (9.5, 10.6)","0.8 (0.8, 0.9)",11.7,54.3,1.9,2.5
"755","Ohio County, Indiana",1.4,"10 (9.5, 10.5)","0.1 (0.1, 0.1)",10.2,52.5,0.9,0.6
"756","Orange County, Indiana",4,"10.1 (9.5, 10.6)","0.4 (0.4, 0.4)",10.7,54.2,0.6,0.7
"757","Owen County, Indiana",4.2,"9.2 (8.7, 9.7)","0.4 (0.4, 0.4)",8.6,51.8,0.4,0.8
"758","Parke County, Indiana",3.4,"10 (9.5, 10.5)","0.3 (0.3, 0.4)",11.2,52,0.3,0.7
"759","Perry County, Indiana",3.7,"10.3 (9.8, 10.8)","0.4 (0.4, 0.4)",12.4,52.9,0.2,0.7
"760","Pike County, Indiana",2.5,"10.3 (9.8, 10.9)","0.3 (0.2, 0.3)",11.5,52.4,0.3,0.6
"761","Porter County, Indiana",29.9,"10 (9.4, 10.6)","3 (2.8, 3.2)",10.6,54.5,1.9,4.7
"762","Posey County, Indiana",5.1,"10.1 (9.6, 10.6)","0.5 (0.5, 0.5)",11.6,54.3,0.6,0.6
"763","Pulaski County, Indiana",2.6,"10.5 (9.9, 11)","0.3 (0.3, 0.3)",11.5,52.2,0.7,1.1
"764","Putnam County, Indiana",6.5,"10.5 (10, 11.1)","0.7 (0.6, 0.7)",12.5,54.1,0.7,0.7
"765","Randolph County, Indiana",5.1,"11.1 (10.5, 11.6)","0.6 (0.5, 0.6)",13.8,54.6,0.4,0.8
"766","Ripley County, Indiana",5.4,"10.4 (9.9, 10.9)","0.6 (0.5, 0.6)",12.1,54.3,0.3,0.6
"767","Rush County, Indiana",3.2,"10.7 (10.2, 11.2)","0.3 (0.3, 0.4)",12.4,55.4,0.8,0.6
"768","St. Joseph County, Indiana",45.1,"11.4 (10.8, 12)","5.1 (4.9, 5.4)",13.6,55.8,8,2.6
"769","Scott County, Indiana",4.1,"9.3 (8.8, 9.8)","0.4 (0.4, 0.4)",8.5,54.8,0.3,1.3
"770","Shelby County, Indiana",8.1,"10.3 (9.8, 10.8)","0.8 (0.8, 0.9)",11.7,55,0.7,0.8
"771","Spencer County, Indiana",4.2,"10.1 (9.6, 10.7)","0.4 (0.4, 0.4)",11.1,51.9,0.6,0.6
"772","Starke County, Indiana",4.5,"9.4 (8.8, 9.9)","0.4 (0.4, 0.4)",8.4,51.7,0.5,2.4
"773","Steuben County, Indiana",7.6,"9.8 (9.2, 10.3)","0.7 (0.7, 0.8)",10.4,52.7,0.5,1
"774","Sullivan County, Indiana",3.8,"10.4 (9.8, 10.9)","0.4 (0.4, 0.4)",12.2,54.9,0.2,0.6
"775","Switzerland County, Indiana",2,"9.8 (9.3, 10.3)","0.2 (0.2, 0.2)",9.1,50.5,0.7,0.4
"776","Tippecanoe County, Indiana",23.9,"10.5 (10, 11.1)","2.5 (2.4, 2.7)",12.5,55.9,1.8,2.4
"777","Tipton County, Indiana",3.3,"10.8 (10.2, 11.4)","0.4 (0.3, 0.4)",12.6,53.8,0.4,2
"778","Union County, Indiana",1.4,"10.3 (9.7, 10.8)","0.1 (0.1, 0.2)",11.5,54.8,1.3,0.5
"779","Vanderburgh County, Indiana",32.5,"11.1 (10.6, 11.7)","3.6 (3.4, 3.8)",13,56.7,6.2,0.9
"780","Vermillion County, Indiana",3.2,"10.3 (9.8, 10.8)","0.3 (0.3, 0.3)",12,55.3,0.5,0.5
"781","Vigo County, Indiana",18.2,"10.9 (10.4, 11.5)","2 (1.9, 2.1)",12.5,58.1,3.7,0.8
"782","Wabash County, Indiana",6.7,"11.7 (11.1, 12.3)","0.8 (0.7, 0.8)",15.9,56.3,0.3,1.1
"783","Warren County, Indiana",1.7,"10.6 (10, 11.1)","0.2 (0.2, 0.2)",11.9,54.3,0.1,0.4
"784","Warrick County, Indiana",11.5,"10.2 (9.7, 10.7)","1.2 (1.1, 1.2)",11.7,54.9,1.1,0.6
"785","Washington County, Indiana",5.1,"9.6 (9.1, 10.1)","0.5 (0.5, 0.5)",9.9,53.7,0.5,0.3
"786","Wayne County, Indiana",12.9,"11.1 (10.6, 11.6)","1.4 (1.4, 1.5)",12.9,57.2,3.9,0.7
"787","Wells County, Indiana",5.3,"10.9 (10.4, 11.5)","0.6 (0.5, 0.6)",14,55.8,0.3,1
"788","White County, Indiana",5,"10.3 (9.8, 10.8)","0.5 (0.5, 0.5)",12,53.4,0.3,1.4
"789","Whitley County, Indiana",6.5,"10.1 (9.6, 10.7)","0.7 (0.6, 0.7)",11.7,54.3,0.3,0.7
"790","Adair County, Iowa",1.6,"12.3 (11.7, 12.9)","0.2 (0.2, 0.2)",18.3,54.2,0.4,0.5
"791","Adams County, Iowa",0.8,"11 (10.5, 11.6)","0.1 (0.1, 0.1)",13.2,53.4,0.1,0.7
"792","Allamakee County, Iowa",3.2,"10.5 (9.9, 11)","0.3 (0.3, 0.4)",12.1,51.9,0.4,1
"793","Appanoose County, Iowa",3,"10.9 (10.4, 11.5)","0.3 (0.3, 0.3)",13.6,53.2,0.7,0.8
"794","Audubon County, Iowa",1.4,"12.2 (11.6, 12.7)","0.2 (0.2, 0.2)",16.9,56.2,0,0.7
"795","Benton County, Iowa",4.9,"11.1 (10.5, 11.6)","0.5 (0.5, 0.6)",14.4,52.5,0.2,0.4
"796","Black Hawk County, Iowa",22.9,"11.1 (10.5, 11.6)","2.5 (2.4, 2.7)",13.1,55,5.7,1
"797","Boone County, Iowa",5.1,"10.2 (9.7, 10.7)","0.5 (0.5, 0.5)",12.3,53.9,0.3,0.8
"798","Bremer County, Iowa",5.1,"11.6 (11, 12.1)","0.6 (0.6, 0.6)",15.3,54.8,0.3,0.6
"799","Buchanan County, Iowa",4,"10.6 (10.1, 11.2)","0.4 (0.4, 0.4)",12.8,53.7,0.3,0.5
"800","Buena Vista County, Iowa",3.3,"11.6 (10.9, 12.3)","0.4 (0.4, 0.4)",15.9,52.7,0.5,6.9
"801","Butler County, Iowa",3.3,"11.5 (10.9, 12)","0.4 (0.4, 0.4)",15.9,53.4,0,0.4
"802","Calhoun County, Iowa",2.2,"11.8 (11.3, 12.4)","0.3 (0.3, 0.3)",16.8,55,0.1,0.4
"803","Carroll County, Iowa",4.2,"12 (11.5, 12.6)","0.5 (0.5, 0.5)",17.1,55.9,0.2,0.5
"804","Cass County, Iowa",3,"11.4 (10.8, 11.9)","0.3 (0.3, 0.4)",14.8,55.6,0.2,0.7
"805","Cedar County, Iowa",3.8,"11.2 (10.7, 11.8)","0.4 (0.4, 0.5)",15.4,53.6,0.4,0.9
"806","Cerro Gordo County, Iowa",9.6,"11.4 (10.8, 11.9)","1.1 (1, 1.2)",15,55.6,0.5,1.9
